1,le retour de Poirot,1992-02-12,1
2,Poirot quitte la scène,1992-05-01,1
3,dix brèves rencontres,1992-10-01,1
4,le miroir de la mort,1992-01-01,1
5,paroles,1992-03-01,4
6,une créature de rêve,1992-02-01,12
7,mémoire d'outre-tombe,,2
8,Madame de Bovary,,3
9,un amour de de swam,,9
10,les femmes savantes,,16
11,le misanthrope,,16
12,Les fleurs du mal,,15
13,petits poèmes en prose,,15
14,les mondes perdus,1980-05-06,14
15,La guerre des mondes,1970-03-15,14
16,spectacles,1948-05-12,4
17,Les fables,,5
18,Le triomphe de l'amour,1980-05-06,5
19,le livre de la jungle,,13
20,kim,1901-07-01,13
21,le marin de Gibraltar,1952-07-12,9
22,l’assommoir,,11
23,j'accuse,,11
24,la terre,,11
